/*C3*/SET SCHEMA PUBLIC
CONNECT USER SA
/*C4*/SET SCHEMA PUBLIC
CONNECT USER SA
/*C3*/INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','18','flowlet-A','1','in',-1207828384)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-A','1','ops',1020311256)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-A','2','in',-2085439824)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-A','2','out',-574298536)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-A','2','ops',-1518808152)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-B','1','in',1465956888)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-B','1','out',-757025568)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-B','1','ops',1515452248)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-B','2','in',-257526904)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-B','2','out',1536272328)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-B','2','ops',-381272160)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-C','1','in',1396336272)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-C','1','out',-1439130144)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-C','1','ops',-1723075192)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-C','2','in',-687448680)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-C','2','out',-1591073768)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-C','2','ops',-193996048)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-D','1','in',1116902256)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-D','1','out',1703616416)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-D','1','ops',1430532328)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-D','2','in',289225160)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-D','2','out',-1768822432)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','18','flowlet-D','2','ops',1694853200)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-A','1','in',1685389512)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-A','1','out',655194040)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-A','1','ops',302390720)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-A','2','in',-1359390872)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-A','2','out',-1417130336)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-A','2','ops',-2105375320)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-B','1','in',-302410032)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-B','1','out',1980840360)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-B','1','ops',1219143248)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-B','2','in',258402352)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-B','2','out',-1328613944)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-B','2','ops',1081892968)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-C','1','in',676370712)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-C','1','out',-129970936)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-C','1','ops',-1919177784)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-C','2','in',-1245193992)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-C','2','out',383641480)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-C','2','ops',-2002494856)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-D','1','in',1963599216)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-D','1','out',90842288)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-D','1','ops',-1343710744)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-D','2','in',1824440664)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-D','2','out',-481497208)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','targetting','ABC','28','flowlet-D','2','ops',-2111557624)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-A','1','in',1100373448)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-A','1','out',-1299321800)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-A','1','ops',-1843546568)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-A','2','in',702838488)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-A','2','out',1884550832)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-A','2','ops',-1596841608)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-B','1','in',1448432216)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-B','1','out',-603802792)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-B','1','ops',1997091832)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-B','2','in',1191280288)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-B','2','out',-933488544)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-B','2','ops',1114962504)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-C','1','in',-873639632)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-C','1','out',-228671976)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-C','1','ops',931360160)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-C','2','in',-670524920)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-C','2','out',1547835336)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-C','2','ops',1892613808)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-D','1','in',1145819000)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-D','1','out',-2018270480)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-D','1','ops',998090592)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-D','2','in',-735830696)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-D','2','out',-424902632)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','smart-explorer','ABC','28','flowlet-D','2','ops',1237160408)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-A','1','in',1858933856)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-A','1','out',2051754200)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-A','1','ops',1302578688)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-A','2','in',-1396200144)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-A','2','out',1851538264)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-A','2','ops',1378452240)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-B','1','in',-1096218312)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-B','1','out',-861408472)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-B','1','ops',745571224)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-B','2','in',602501440)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-B','2','out',1477180896)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-B','2','ops',-510461336)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-C','1','in',824639264)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-C','1','out',672695504)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-C','1','ops',1792912888)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-C','2','in',-113542944)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-C','2','out',42457352)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-C','2','ops',757768088)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-D','1','in',968026096)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-D','1','out',-614981552)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-D','1','ops',631466256)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-D','2','in',1221995904)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-D','2','out',-1688153024)
INSERT INTO FLOW_METRICS VALUES(1339019177,'demo','personalization','indexer','ABC','28','flowlet-D','2','ops',2104125624)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-A','1','in',680440448)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-A','1','out',-1808510088)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-A','1','ops',-1111023576)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-A','2','in',1219154240)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-A','2','out',408412064)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-A','2','ops',1353350616)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-B','1','in',-1630757096)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-B','1','out',-89565480)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-B','1','ops',1802270752)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-B','2','in',1247630264)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-B','2','out',2061873568)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-B','2','ops',-545602440)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-C','1','in',-1033001672)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-C','1','out',893812832)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-C','1','ops',986541760)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-C','2','in',-181055968)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-C','2','out',286299104)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-C','2','ops',-1778325736)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-D','1','in',-947072320)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-D','1','out',1040795000)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-D','1','ops',141241488)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-D','2','in',-1594297120)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-D','2','out',779938944)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','18','flowlet-D','2','ops',-898856944)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-A','1','in',1575945712)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-A','1','out',334019528)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-A','1','ops',-660389712)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-A','2','in',563679376)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-A','2','out',1213662336)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-A','2','ops',-1067365136)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-B','1','in',463047360)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-B','1','out',-1911972640)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-B','1','ops',-403864368)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-B','2','in',1151152048)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-B','2','out',-2010913768)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-B','2','ops',-5715256)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-C','1','in',198393832)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-C','1','out',-470726712)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-C','1','ops',631931192)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-C','2','in',-669956320)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-C','2','out',-1001312016)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-C','2','ops',-873716624)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-D','1','in',-201446256)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-D','1','out',-662176336)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-D','1','ops',1958827464)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-D','2','in',814547544)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-D','2','out',1746954336)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','smart-explorer','XYZ','18','flowlet-D','2','ops',-146636728)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-A','1','in',-1069763384)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-A','1','out',49700632)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-A','1','ops',389728488)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-A','2','in',605458248)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-A','2','out',-50428608)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-A','2','ops',-1265002752)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-B','1','in',1988238896)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-B','1','out',-1512486848)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-B','1','ops',894359864)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-B','2','in',924012656)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-B','2','out',-1317734688)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-B','2','ops',58629776)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-C','1','in',-1547127384)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-C','1','out',-1865799232)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-C','1','ops',1807114640)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-C','2','in',1215547840)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-C','2','out',-1376665352)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-C','2','ops',-371494712)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-D','1','in',1119368096)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-D','1','out',1824069320)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-D','1','ops',1700519544)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-D','2','in',2113631336)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-D','2','out',-1619407224)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','indexer','XYZ','18','flowlet-D','2','ops',-387311096)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','28','flowlet-A','1','in',1860860176)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','28','flowlet-A','1','out',-1599535040)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','28','flowlet-A','1','ops',-1814915288)
INSERT INTO FLOW_METRICS VALUES(1339019178,'demo','personalization','targetting','XYZ','28','flowlet-A','2','in',-827553768)
