# Bower Dependencies
# dependency,version,type,license,license_url,homepage,license_page
"javax.jdo.jdo-api-3.0.1.jar","3.0.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"javax.mail.mail-1.4.1.jar","1.4.1","","CDDL 1.0","https://glassfish.java.net/public/CDDLv1.0.html"
"javax.mail.mail-1.4.jar","1.4","","GPLv2+CE","https://glassfish.java.net/public/CDDL+GPL_1_1.html"
"javax.servlet.javax.servlet-api-3.0.1.jar","3.0.1","","CDDL 1.0","https://glassfish.dev.java.net/public/CDDL+GPL.html"
"javax.servlet.jsp.jsp-api-2.1.jar","2.1","","CDDL 1.0","https://glassfish.java.net/public/CDDLv1.0.html"
"javax.servlet.servlet-api-2.5.jar","2.5","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"javax.transaction.jta-1.1.jar","1.1","","CDDL 1.0","http://opensource.org/licenses/cddl1.php"
"javax.ws.rs.javax.ws.rs-api-2.0.jar","2.0","","Best of CDDL and GPL 2.0","http://glassfish.java.net/public/CDDL+GPL_1_1.html"
"javax.xml.bind.jaxb-api-2.1.jar","2.1","","Best of CDDL 1.1 and GPL 2.0","https://glassfish.java.net/nonav/public/CDDL+GPL.html"
"javax.xml.bind.jaxb-api-2.2.2.jar","2.2.2","","Best of CDDL 1.1 and GPL 2.0","https://glassfish.java.net/nonav/public/CDDL+GPL.html"
"javax.xml.stream.stax-api-1.0-2.jar","1.0","2","Best of CDDL 1.0 and GPL 2.0","https://glassfish.java.net/nonav/public/CDDL+GPL.html"
"jdk.tools.jdk.tools-1.6.jar","1.6","","-","-"
"jdk.tools.jdk.tools-1.7.jar","1.7","","-","-"
"jline.jline-2.12.jar","2.12","","The BSD License","http://www.opensource.org/licenses/bsd-license.php"
"joda-time.joda-time-2.1.jar","2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"junit.junit-4.11.jar","4.11","","Common Public License Version 1.0","http://www.opensource.org/licenses/cpl1.0.txt"
"kafka-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"kafka-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"log4j.apache-log4j-extras-1.2.17.jar","1.2.17","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"log4j.log4j-1.2.14.jar","1.2.14","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"log4j.log4j-1.2.15.jar","1.2.15","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"log4j.log4j-1.2.16.jar","1.2.16","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"log4j.log4j-1.2.17.jar","1.2.17","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"mongodb-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"mongodb-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"navigator-0.2.0-SNAPSHOT.jar","0.2.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"net.java.dev.jets3t.jets3t-0.7.1.jar","0.7.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"net.java.dev.jets3t.jets3t-0.9.0.jar","0.9.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"net.jcip.jcip-annotations-1.0.jar","1.0","","Creative Commons Attribution License","http://creativecommons.org/licenses/by/2.5"
"net.jpountz.lz4.lz4-1.2.0.jar","1.2.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"net.jpountz.lz4.lz4-1.3.0.jar","1.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"net.sf.jopt-simple.jopt-simple-3.2.jar","3.2","","The MIT License","http://www.opensource.org/licenses/mit-license.php"
"net.sf.jpam.jpam-1.1.jar","1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"net.sf.opencsv.opencsv-2.3.jar","2.3","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"net.sf.py4j.py4j-0.8.1.jar","0.8.1","","The New BSD License","http://www.opensource.org/licenses/bsd-license.html"
"net.sf.py4j.py4j-0.8.2.1.jar","0.8.2.1","","The New BSD License","http://www.opensource.org/licenses/bsd-license.html"
"net.sourceforge.f2j.arpack_combined_all-0.1.jar","0.1","","The BSD License","http://www.opensource.org/licenses/bsd-license.html"
"netty-http-0.6.0.jar","0.6.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.antlr.ST4-4.0.4.jar","4.0.4","","BSD License","http://antlr.org/license.html"
"org.antlr.antlr-runtime-3.4.jar","3.4","","ANTLR 3 License (BSD License)","http://www.antlr3.org/license.html"
"org.antlr.stringtemplate-3.2.1.jar","3.2.1","","BSD License","http://antlr.org/license.html"
"org.apache.ant.ant-1.9.0.jar","1.9.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.ant.ant-1.9.1.jar","1.9.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.ant.ant-launcher-1.9.0.jar","1.9.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.ant.ant-launcher-1.9.1.jar","1.9.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.avro.avro-1.6.2.jar","1.6.2","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.avro.avro-1.7.7.jar","1.7.7","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.avro.avro-ipc-1.6.2.jar","1.6.2","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.avro.avro-ipc-1.7.7-tests.jar","1.7.7","tests","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.avro.avro-mapred-1.6.2.jar","1.6.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.avro.avro-mapred-1.7.7-hadoop2.jar","1.7.7","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.avro.avro-mapred-hadoop2.jar","","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.calcite.calcite-avatica-1.0.0-incubating.jar","1.0.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.calcite.calcite-core-1.0.0-incubating.jar","1.0.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.calcite.calcite-linq4j-1.0.0-incubating.jar","1.0.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.commons.commons-compress-1.4.1.jar","1.4.1","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.commons.commons-compress-1.9.jar","1.9","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.commons.commons-lang3-3.1.jar","3.1","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.commons.commons-lang3-3.3.2.jar","3.3.2","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.commons.commons-math3-3.1.1.jar","3.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.curator.curator-client-2.4.0.jar","2.4.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.curator.curator-client-2.6.0.jar","2.6.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.curator.curator-framework-2.4.0.jar","2.4.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.curator.curator-framework-2.6.0.jar","2.6.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.curator.curator-recipes-2.4.0.jar","2.4.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.derby.derby-10.10.1.1.jar","10.10.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.derby.derby-10.11.1.1.jar","10.11.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.flume.flume-ng-configuration-1.2.0.jar","1.2.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.flume.flume-ng-core-1.2.0.jar","1.2.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.flume.flume-ng-sdk-1.2.0.jar","1.2.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.geronimo.components.geronimo-jaspi-2.0.0.jar","2.0.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.geronimo.specs.geronimo-annotation_1.0_spec-1.1.1.jar","1.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.geronimo.specs.geronimo-jaspic_1.0_spec-1.0.jar","1.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.geronimo.specs.geronimo-jaspic_1.0_spec-1.1.jar","1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.geronimo.specs.geronimo-jta_1.1_spec-1.1.1.jar","1.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-annotations-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-auth-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-common-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-hdfs-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-mapreduce-client-app-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-mapreduce-client-common-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-mapreduce-client-core-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-mapreduce-client-jobclient-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-mapreduce-client-shuffle-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-minicluster-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-yarn-api-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-yarn-client-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-yarn-common-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-yarn-server-common-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-yarn-server-nodemanager-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-yarn-server-resourcemanager-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hadoop.hadoop-yarn-server-web-proxy-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-0.94.6.1.continuuity.jar","0.94.6.1","continuuity","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-0.96.0-hadoop2.jar","0.96.0","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-0.96.2-hadoop2.jar","0.96.2","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-0.98.6.1-hadoop2.jar","0.98.6.1","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-1.0.0-cdh5.4.4.jar","1.0.0","cdh5.4.4","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-1.0.0-cdh5.5.0.jar","1.0.0","cdh5.5.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-1.0.1.1.jar","1.0.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-1.1.1.jar","1.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-client-1.2.0-cdh5.7.0.jar","1.2.0","cdh5.7.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-0.96.0-hadoop2.jar","0.96.0","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-0.96.2-hadoop2.jar","0.96.2","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-0.98.6.1-hadoop2.jar","0.98.6.1","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-1.0.0-cdh5.4.4.jar","1.0.0","cdh5.4.4","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-1.0.0-cdh5.5.0.jar","1.0.0","cdh5.5.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-1.0.1.1.jar","1.0.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-1.1.1.jar","1.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-common-1.2.0-cdh5.7.0.jar","1.2.0","cdh5.7.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-0.96.0-hadoop2.jar","0.96.0","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-0.96.2-hadoop2.jar","0.96.2","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-0.98.6.1-hadoop2.jar","0.98.6.1","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-1.0.0-cdh5.4.4.jar","1.0.0","cdh5.4.4","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-1.0.0-cdh5.5.0.jar","1.0.0","cdh5.5.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-1.0.1.1.jar","1.0.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-1.1.1.jar","1.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-protocol-1.2.0-cdh5.7.0.jar","1.2.0","cdh5.7.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-0.96.0-hadoop2.jar","0.96.0","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-0.96.2-hadoop2.jar","0.96.2","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-0.98.6.1-hadoop2.jar","0.98.6.1","hadoop2","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-1.0.0-cdh5.4.4.jar","1.0.0","cdh5.4.4","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-1.0.0-cdh5.5.0.jar","1.0.0","cdh5.5.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-1.0.1.1.jar","1.0.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-1.1.1.jar","1.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hbase.hbase-server-1.2.0-cdh5.7.0.jar","1.2.0","cdh5.7.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-ant-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-ant-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-common-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-common-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-exec-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-jdbc-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-jdbc-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-metastore-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-metastore-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-serde-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-serde-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-service-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-service-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-shims-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.hive-shims-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-0.20-0.13.0.jar","0.20","0.13.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-0.20S-0.13.0.jar","0.20","S-0.13.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-0.20S-1.1.0.jar","0.20","S-1.1.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-0.23-0.13.0.jar","0.23","0.13.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-0.23-1.1.0.jar","0.23","1.1.0","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-common-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-common-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-common-secure-0.13.0.jar","0.13.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.hive.shims.hive-shims-scheduler-1.1.0.jar","1.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.httpcomponents.httpclient-4.2.5.jar","4.2.5","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.httpcomponents.httpcore-4.2.5.jar","4.2.5","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.ivy.ivy-2.4.0.jar","2.4.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.kafka.kafka-clients-0.8.2.2.jar","0.8.2.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.kafka.kafka_2.10-0.8.0.jar","0.8.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.kafka.kafka_2.10-0.8.2.2.jar","0.8.2.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.mesos.mesos-0.18.1-shaded-protobuf.jar","0.18.1","shaded-protobuf","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.mesos.mesos-0.21.0-shaded-protobuf.jar","0.21.0","shaded-protobuf","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-catalyst_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-core_2.10-1.1.0.jar","1.1.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.spark.spark-core_2.10-1.2.0.jar","1.2.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.spark.spark-core_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-core_2.10-1.6.1.jar","1.6.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-graphx_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-mllib_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-mllib_2.10-1.6.1.jar","1.6.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-network-common_2.10-1.2.0.jar","1.2.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.spark.spark-network-common_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-network-shuffle_2.10-1.2.0.jar","1.2.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.spark.spark-network-shuffle_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-sql_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-sql_2.10-1.6.1.jar","1.6.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-streaming_2.10-1.3.1.jar","1.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.spark.spark-streaming_2.10-1.6.1.jar","1.6.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.thrift.libfb303-0.9.0.jar","0.9.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.thrift.libfb303-0.9.2.jar","0.9.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.thrift.libthrift-0.9.0.jar","0.9.0","","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.twill.twill-api-0.4.0-incubating-SNAPSHOT.jar","0.4.0","incubating-SNAPSHOT","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.twill.twill-api-0.4.0-incubating.jar","0.4.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-api-0.5.0-incubating.jar","0.5.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-api-0.6.0-incubating.jar","0.6.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-api-0.7.0-incubating.jar","0.7.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-common-0.4.0-incubating-SNAPSHOT.jar","0.4.0","incubating-SNAPSHOT","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.twill.twill-common-0.4.0-incubating.jar","0.4.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-common-0.5.0-incubating.jar","0.5.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-common-0.6.0-incubating.jar","0.6.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-common-0.7.0-incubating.jar","0.7.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-core-0.4.0-incubating-SNAPSHOT.jar","0.4.0","incubating-SNAPSHOT","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt"
"org.apache.twill.twill-core-0.4.0-incubating.jar","0.4.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"org.apache.twill.twill-core-0.5.0-incubating.jar","0.5.0","incubating","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
